document,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
0,0.04929577464788733,0.035211267605633804,0.045774647887323945,0.05985915492957747,0.035211267605633804,0.1443661971830986,0.4507042253521127,0.04225352112676056,0.08450704225352113,0.0528169014084507
1,0.02901785714285714,0.014508928571428572,0.020089285714285712,0.02232142857142857,0.7901785714285714,0.030133928571428572,0.03571428571428571,0.01339285714285714,0.029017857142857144,0.015625
2,0.00936768149882904,0.021662763466042154,0.7464871194379392,0.011124121779859485,0.021662763466042154,0.0895784543325527,0.03161592505854801,0.012295081967213116,0.04508196721311475,0.011124121779859485
3,0.04632587859424919,0.04233226837060703,0.012779552715654952,0.02476038338658147,0.019169329073482427,0.031150159744408944,0.05990415335463259,0.43130990415335463,0.009584664536741214,0.3226837060702875
4,0.012376237623762377,0.01608910891089109,0.013613861386138614,0.7784653465346536,0.02351485148514852,0.027227722772277228,0.03217821782178218,0.018564356435643567,0.028465346534653466,0.04950495049504951
5,0.28095975232198145,0.3126934984520124,0.010061919504643965,0.020897832817337463,0.02321981424148607,0.06114551083591331,0.04024767801857585,0.009287925696594427,0.2260061919504644,0.015479876160990712
